log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_07_01_16_33_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 323657915, 11.079133454, 0.414869216666, 1,Wed Sep  7 01:16:33 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.508303 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_16_33_cudaMergeSort_carolk402.log
2016_09_07_01_17_11_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 41226651, 12.5707764962, 0.839320728874, 1,Wed Sep  7 01:17:11 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.513262 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_17_11_cudaMergeSort_carolk402.log
2016_09_07_01_17_36_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 846648934, 10.6696515762, 0.0135180787352, 1,Wed Sep  7 01:17:36 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.507031 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_17_36_cudaMergeSort_carolk402.log
2016_09_07_01_18_19_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 507161852, 10.6832277436, 0.361388309343, 1,Wed Sep  7 01:18:19 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.505503 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_18_19_cudaMergeSort_carolk402.log
2016_09_07_01_18_55_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 566006894, 11.687705409, 0.104450723871, 1,Wed Sep  7 01:18:55 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.503457 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_18_55_cudaMergeSort_carolk402.log
2016_09_07_01_20_06_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 74467846, 7.76562837743, 0.00461912693796, 1,Wed Sep  7 01:20:06 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.955654 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_20_06_cudaMergeSort_carolk402.log
2016_09_07_01_20_59_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 105012122, 6.68879978686, 0.297733742428, 1,Wed Sep  7 01:20:59 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.955738 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_20_59_cudaMergeSort_carolk402.log
2016_09_07_01_21_24_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, rf, 0, 87123549, 2.05899874174, 0.193087993579, 1,Wed Sep  7 01:21:24 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 5 , 5 , 2.957405 , 1 , 4 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_21_24_cudaMergeSort_carolk402.log
2016_09_07_01_21_32_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 672986602, 10.8058277578, 0.756620990396, 1,Wed Sep  7 01:21:32 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.507871 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_21_32_cudaMergeSort_carolk402.log
2016_09_07_01_21_54_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 5, rf, 0, 114054136, 6.00304392827, 0.182441445897, 1,Wed Sep  7 01:21:54 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.955688 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_21_54_cudaMergeSort_carolk402.log
