log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_13_17_30_51_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 1378604912, 0.540721386521, 0.498354193035, 1,Tue Sep 13 17:30:51 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 380 , 380 , 4.625715 , 378 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_30_51_cudaQuickSortCDP_carolk402.log
2016_09_13_17_31_10_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 673393074, 0.317964874013, 0.144926037726, 1,Tue Sep 13 17:31:10 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.049646 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_31_10_cudaQuickSortCDP_carolk402.log
2016_09_13_17_31_23_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 908570311, 0.161350733874, 0.23719128733, 1,Tue Sep 13 17:31:23 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 2891 , 4.286711 , 500 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_31_23_cudaQuickSortCDP_carolk402.log
2016_09_13_17_32_05_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 197292926, 0.294103082747, 0.751801292591, 1,Tue Sep 13 17:32:05 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 3.834576 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_32_05_cudaQuickSortCDP_carolk402.log
2016_09_13_17_32_17_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 1154665868, 0.450614838287, 0.231909943005, 1,Tue Sep 13 17:32:17 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 2051 , 3.623249 , 498 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_32_17_cudaQuickSortCDP_carolk402.log
2016_09_13_17_32_41_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 1219369877, 0.329829591408, 0.716062226924, 1,Tue Sep 13 17:32:41 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 5 , 5 , 4.257434 , 3 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_32_41_cudaQuickSortCDP_carolk402.log
2016_09_13_17_33_17_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 663484160, 0.282325081026, 0.738921228919, 1,Tue Sep 13 17:33:17 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 826 , 4.17975 , 500 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_33_17_cudaQuickSortCDP_carolk402.log
2016_09_13_17_33_30_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 893827712, 0.89435717517, 0.119575166132, 1,Tue Sep 13 17:33:30 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 18 , 18 , 4.353347 , 16 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_33_30_cudaQuickSortCDP_carolk402.log
2016_09_13_17_33_43_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 1411016748, 0.949976304515, 0.045840844624, 1,Tue Sep 13 17:33:43 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.65955 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_33_43_cudaQuickSortCDP_carolk402.log
2016_09_13_17_34_46_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 2, 724704015, 0.447551121908, 0.591575867066, 1,Tue Sep 13 17:34:46 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.894773 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_17_34_46_cudaQuickSortCDP_carolk402.log
